Date,Close,VIX,RSI_14,MACD_12_26_9
2015-01-21,8729.5,17.709999084472656,66.51014064656879,59.74875906473244
2015-01-22,8761.400390625,18.56999969482422,67.53389494252272,77.79641790506685
2015-01-23,8835.599609375,17.889999389648438,70.76856262482067,96.96877868703632
2015-01-27,8910.5,18.09000015258789,92.3530179104178,116.85976170069262
2015-01-28,8914.2998046875,19.770000457763672,94.96731365322033,131.41524834799566
2015-01-29,8952.349609375,19.43000030517578,94.3794999867159,144.35682203992292
2015-01-30,8808.900390625,20.170000076293945,79.06233898936193,141.40789711718935
2015-02-02,8797.400390625,20.40999984741211,77.10242310902429,136.5686209285268
2015-02-03,8756.5498046875,19.809999465942383,75.6120406754141,127.96209146457659
2015-02-04,8723.7001953125,20.049999237060547,74.69150348274624,117.14034493766849
2015-02-05,8711.7001953125,20.6200008392334,65.56487302636451,106.36957093581623
2015-02-06,8661.0498046875,20.690000534057617,60.08769465027844,92.67825449207703
2015-02-09,8526.349609375,22.020000457763672,48.52893111964064,70.14996244436588
2015-02-10,8565.5498046875,21.190000534057617,40.99315953289498,54.82724251801665
2015-02-11,8627.400390625,20.5,43.19245524796262,47.131400513550034
2015-02-12,8711.5498046875,20.15999984741211,46.892687006711704,47.277558463600144
2015-02-13,8805.5,20.100000381469727,48.16890162613797,54.347896558070715
2015-02-16,8809.349609375,20.829999923706055,43.264270943072304,59.57507733370221
2015-02-18,8869.099609375,20.90999984741211,47.198797331761405,67.75791039342948
2015-02-19,8895.2998046875,20.399999618530273,46.41173717398274,75.48683608744977
2015-02-20,8833.599609375,21.270000457763672,51.73157446482217,75.76006045427675
2015-02-23,8754.9501953125,21.6299991607666,47.28005616465956,68.83673528421969
2015-02-24,8762.099609375,21.549999237060547,50.37164729409641,63.19833708150509
2015-02-25,8767.25,20.780000686645508,53.02870803648441,58.47143703429174
2015-02-26,8683.849609375,20.579999923706055,48.238086588848155,47.44866153964358
2015-02-27,8844.599609375,19.56999969482422,60.192113103146106,51.095220208628234
2015-03-02,8956.75,15.850000381469727,74.51305382827013,62.316398814429704
2015-03-03,8996.25,15.489999771118164,74.52175469849668,73.54875927408102
2015-03-04,8922.650390625,15.199999809265137,66.58802512432679,75.6396852763828
2015-03-05,8937.75,14.4399995803833,63.777582943632,77.62041169241638
2015-03-09,8756.75,15.8100004196167,47.315378492912,63.84895333811073
2015-03-10,8712.0498046875,15.529999732971191,44.87247972613427,48.76589826820782
2015-03-11,8699.9501953125,15.130000114440918,40.61479642427152,35.427742143432624
2015-03-12,8776.0,14.75,43.72765892775176,30.64053595643236
2015-03-13,8647.75,14.970000267028809,40.86777930266706,16.30992671070271
2015-03-16,8633.150390625,15.180000305175781,43.61300841985164,3.7317320898528124
2015-03-17,8723.2998046875,15.130000114440918,48.12832410787894,1.0259005931493448
2015-03-18,8685.900390625,15.510000228881836,46.194163366526624,-4.089173075557483
2015-03-19,8634.650390625,15.199999809265137,47.62688935030091,-12.138428251035293
2015-03-20,8570.900390625,14.260000228881836,35.43529685661666,-23.391965174829238
2015-03-23,8550.900390625,14.270000457763672,26.054580276704172,-33.537705326805735
2015-03-24,8542.9501953125,13.670000076293945,22.220785920412126,-41.73865458389082
2015-03-25,8530.7998046875,13.140000343322754,24.0306515393726,-48.65750747523634
2015-03-26,8342.150390625,15.15999984741211,17.90943626548244,-68.57271576289713
2015-03-27,8341.400390625,14.5,22.226633616039834,-83.45417278869718
2015-03-30,8492.2998046875,14.260000228881836,37.13328042340144,-82.12482919094691
2015-03-31,8491.0,14.489999771118164,37.608917479264704,-80.25111330805703
2015-04-01,8586.25,13.670000076293945,38.99805672197535,-70.27026908860535
